mr,ref,alignment
"inform(name[Quantum Break], release_year[2016], genres[adventure, shooter], player_perspective[third person])",Quantum Break came out in 2016 and is a third person adventure shooter.,(0: da) (0: name) (26: releaseyear) (40: playerperspective) (53: genres)
"verify_attribute(name[Uncharted 4: A Thief's End], developer[Naughty Dog], rating[excellent], genres[action-adventure, shooter])",I remember you saying that you really loved Uncharted 4: A Thief's End. Do you think Naughty Dog simply makes the best action-adventure shooter games?,(0: da) (38: rating) (44: name) (88: developer) (122: genres)
"verify_attribute(name[Uncharted 4: A Thief's End], developer[Naughty Dog], rating[excellent], genres[action-adventure, shooter])",You mentioned that you really enjoyed Uncharted 4: A Thief's End. Would you say you are a fan of action-adventure shooters from Naughty Dog?,(0: da) (38: name) (100: genres) (131: developer)
"verify_attribute(name[Uncharted 4: A Thief's End], developer[Naughty Dog], rating[excellent], genres[action-adventure, shooter])",I remember you saying that you really dug Uncharted 4: A Thief's End. Do you like to play action-adventure shooters from Naughty Dog?,(0: da) (42: name) (93: genres) (124: developer)
"give_opinion(name[Might & Magic: Heroes VI], developer[Black Hole Entertainment], rating[average], genres[role-playing, turn-based strategy])","Might & Magic: Heroes VI is an okay game. I normally really like games that combine the role-playing and turn-based strategy genres, but Black Hole Entertainment isn't really able to bring out the full potential.",(0: da) (0: name) (32: rating) (90: genres) (140: developer)
"give_opinion(name[Might & Magic: Heroes VI], developer[Black Hole Entertainment], rating[average], genres[role-playing, turn-based strategy])","Might & Magic: Heroes VI wasn't a bad game, but it didn't live up to my hopes. I normally enjoy games that blend role-playing and turn-based strategy together, but it's clear Black Hole Entertainment didn't really know how to make a game like that.",(0: da) (0: name) (118: genres) (182: developer)
"give_opinion(name[Might & Magic: Heroes VI], developer[Black Hole Entertainment], rating[average], genres[role-playing, turn-based strategy])","Black Hole Entertainment did a decent job on the turn-based RPG strategy, Might & Magic: Heroes VI, I just wish it was at least a bit better.",(0: da) (0: developer) (31: rating) (49: genres) (75: name)
"inform(name[Ancient Cities], exp_release_date[December 1, 2018], genres[simulation, strategy], player_perspective[bird view])","Ancient Cities is a bird view simulation strategy game that will be released December 1, 2018.",(0: da) (0: name) (20: playerperspective) (30: genres) (77: expreleasedate)
"inform(name[Ancient Cities], exp_release_date[December 1, 2018], genres[simulation, strategy], player_perspective[bird view])","Ancient Cities, a bird view perspective simulation strategy game, is set to be released on December 1, 2018.",(0: da) (0: name) (18: playerperspective) (41: genres) (93: expreleasedate)
"inform(name[Ancient Cities], exp_release_date[December 1, 2018], genres[simulation, strategy], player_perspective[bird view])","Ancient Cities is a simulation strategy game that is expected to be released on December 1, 2018. The game is played from a bird view.",(0: da) (0: name) (20: genres) (80: expreleasedate) (123: playerperspective)
"inform(name[Far Cry 3], rating[good], genres[action-adventure, shooter], player_perspective[first person], has_multiplayer[yes])",Far Cry 3 is a good action-adventure first person shooter that can be played multiplayer.,(0: da) (0: name) (15: rating) (20: genres) (37: playerperspective) (77: hasmultiplayer)
"inform(name[Far Cry 3], rating[good], genres[action-adventure, shooter], player_perspective[first person], has_multiplayer[yes])","Far Cry 3 is a first person action-adventure shooter that has received good ratings. There is a multiplayer mode, as well.",(0: da) (0: name) (15: playerperspective) (28: genres) (71: rating) (96: hasmultiplayer)
"inform(name[Far Cry 3], rating[good], genres[action-adventure, shooter], player_perspective[first person], has_multiplayer[yes])","A good first person, action-adventure shooter with multiplayer is Far Cry 3.",(0: da) (2: rating) (7: playerperspective) (22: genres) (51: hasmultiplayer) (67: name)
"inform(name[Driver], release_year[1999], developer[Reflections Interactive], genres[driving/racing, simulation], platforms[PlayStation, PC], has_linux_release[no], has_mac_release[yes])","Maybe try Driver, it's a driving simulator released in 1999 by Reflections Interactive. It's available on PlayStation and PC with support for Mac but not Linux.",(0: da) (10: name) (27: genres) (57: releaseyear) (65: developer) (110: platforms) (144: hasmacrelease) (156: haslinuxrelease)
"inform(name[Driver], release_year[1999], developer[Reflections Interactive], genres[driving/racing, simulation], platforms[PlayStation, PC], has_linux_release[no], has_mac_release[yes])","Driver is a driving/racing simulation game released in 1999. Developed by Reflections Interactive, it is available on PlayStation, PC, and Mac. There is no Linux release, however.",(0: da) (0: name) (12: genres) (55: releaseyear) (74: developer) (119: platforms) (138: hasmacrelease) (155: haslinuxrelease)
"inform(name[Driver], release_year[1999], developer[Reflections Interactive], genres[driving/racing, simulation], platforms[PlayStation, PC], has_linux_release[no], has_mac_release[yes])","The game is Driver and it's for the PlayStation and PC. The game was released in 1999 and was developed by Reflections Interactive. This game features driving/racing simulation. This game is not available on Linux, but it has been released for Mac.",(0: da) (12: name) (37: platforms) (83: releaseyear) (109: developer) (154: genres) (209: haslinuxrelease) (245: hasmacrelease)
"inform(name[Small World 2], release_year[2010], genres[indie, trivia/board game])",Small World 2 is an indie game released in 2010 for trivia/board game lovers.,(0: da) (0: name) (20: genres) (43: releaseyear)
"inform(name[Small World 2], release_year[2010], genres[indie, trivia/board game])",Small World 2 is an indie trivia/board game that was released in 2010.,(0: da) (0: name) (20: genres) (65: releaseyear)
"inform(name[Small World 2], release_year[2010], genres[indie, trivia/board game])","Small World 2 is an indie, trivia/board game that released in 2010.",(0: da) (0: name) (20: genres) (63: releaseyear)
"recommend(name[Assetto Corsa], developer[Kunos Simulazioni], player_perspective[first person])","While we're on the subject of first person games made by Kunos Simulazioni, have you ever played Assetto Corsa?",(0: da) (31: playerperspective) (58: developer) (99: name)
"recommend(name[Assetto Corsa], developer[Kunos Simulazioni], player_perspective[first person])","Since you like first person games, I wondering if you've ever tried Assetto Corsa by Kunos Simulazioni?",(0: da) (15: playerperspective) (70: name) (87: developer)
"recommend(name[Assetto Corsa], developer[Kunos Simulazioni], player_perspective[first person])",A first person perspective game developed by Kunos Simulazioni that I enjoyed was Assetto Corsa. Have you played it?,(0: da) (2: playerperspective) (45: developer) (82: name)
"request_explanation(rating[good], player_perspective[third person], has_multiplayer[no])",How is the third person perspective enjoyable in single-player games?,(0: da) (11: playerperspective) (36: rating) (49: hasmultiplayer)
"request_explanation(rating[good], player_perspective[third person], has_multiplayer[no])",What makes you like third person single-player games?,(0: da) (15: rating) (20: playerperspective) (33: hasmultiplayer)
"request_explanation(rating[good], player_perspective[third person], has_multiplayer[no])",What do you mostly like about playing single-player games with a third person view?,(0: da) (19: rating) (38: hasmultiplayer) (65: playerperspective)
"request_explanation(rating[good], has_multiplayer[yes], available_on_steam[yes])",Why do you prefer multiplayer games available through Steam?,(0: da) (18: hasmultiplayer) (54: availableonsteam)
"request_explanation(rating[good], has_multiplayer[yes], available_on_steam[yes])",Why do you like to play multiplayer games on Steam?,(0: da) (11: rating) (24: hasmultiplayer) (45: availableonsteam)
"request_explanation(rating[good], has_multiplayer[yes], available_on_steam[yes])",What do multiplayer games on Steam have to offer that you appreciate?,(0: da) (8: hasmultiplayer) (29: availableonsteam)
"inform(name[Crysis], release_year[2007], rating[good], genres[action-adventure, shooter], player_perspective[first person])",Crysis was a good first person shooter. It was an action-adventure game from 2007.,(0: da) (0: name) (13: rating) (18: playerperspective) (31: genres) (78: releaseyear)
"inform(name[Crysis], release_year[2007], rating[good], genres[action-adventure, shooter], player_perspective[first person])",Crysis is a first person shooter released in 2007. The action-adventure game was reviewed as good.,(0: da) (0: name) (12: playerperspective) (25: genres) (45: releaseyear) (92: rating)
"inform(name[Crysis], release_year[2007], rating[good], genres[action-adventure, shooter], player_perspective[first person])","Crysis is a good action-adventure, first person shooter game which was released in 2007.",(0: da) (0: name) (12: rating) (17: genres) (36: playerperspective) (84: releaseyear)
"inform(name[Undertale], release_year[2015], rating[excellent], genres[adventure, indie, role-playing], player_perspective[bird view])","If you want an excellent adventure game, Undertale is a 2015 indie role-playing game that is set in bird view.",(0: da) (15: rating) (25: genres) (42: name) (57: releaseyear) (100: playerperspective)
"inform(name[Undertale], release_year[2015], rating[excellent], genres[adventure, indie, role-playing], player_perspective[bird view])",Undertale is an excellent bird view adventure RPG. It is an indie title that was released in 2015.,(0: da) (0: name) (16: rating) (26: playerperspective) (36: genres) (94: releaseyear)
"inform(name[Undertale], release_year[2015], rating[excellent], genres[adventure, indie, role-playing], player_perspective[bird view])",Undertale is an excellent indie adventure RPG from 2015 with a bird view.,(0: da) (0: name) (16: rating) (26: genres) (51: releaseyear) (63: playerperspective)
"verify_attribute(name[BioShock], rating[good], genres[action-adventure, role-playing, shooter])","Hey, so you enjoyed BioShock. Is such an action-adventure shooter style of games with RPG elements something you dig?",(0: da) (13: rating) (21: name) (43: genres)
"verify_attribute(name[BioShock], rating[good], genres[action-adventure, role-playing, shooter])",I remember that you liked BioShock. Do you generally enjoy action-adventure shooters with role-playing elements?,(0: da) (20: rating) (26: name) (60: genres)
"verify_attribute(name[BioShock], rating[good], genres[action-adventure, role-playing, shooter])","You said you liked BioShock. So I'm curious, do you tend to enjoy action-adventure role-playing shooters overall?",(0: da) (13: rating) (19: name) (69: genres)
"verify_attribute(name[The Elder Scrolls V: Skyrim], esrb[M (for Mature)], rating[good])",So you mentioned that you thought The Elder Scrolls V: Skyrim was a fun game. Do you have similar thoughts about other M rated games?,(0: da) (34: name) (69: rating) (121: esrb)
"verify_attribute(name[The Elder Scrolls V: Skyrim], esrb[M (for Mature)], rating[good])",I know you thought that the M rated The Elder Scrolls V: Skyrim was good. Do you generally prefer games that have the M (for Mature) rating?,(0: da) (28: esrb) (36: name) (69: rating)
"verify_attribute(name[The Elder Scrolls V: Skyrim], esrb[M (for Mature)], rating[good])",Are you often pleased with M rated games or is it just The Elder Scrolls V: Skyrim?,(0: da) (27: esrb) (55: name)
"verify_attribute(name[Skyforge], rating[poor], player_perspective[third person])",I know you really didn't enjoy Skyforge. Do you feel similarly about other games with a third person perspective?,(0: da) (32: name) (90: playerperspective)
"verify_attribute(name[Skyforge], rating[poor], player_perspective[third person])","If my memory is right, you said you didn't like Skyforge. Is the third person perspective something you don't like in games?",(0: da) (50: name) (68: playerperspective)
"verify_attribute(name[Skyforge], rating[poor], player_perspective[third person])","Do you hate most third person games, or just Skyforge?",(0: da) (7: rating) (17: playerperspective) (46: name)
"inform(name[Grand Theft Auto V], release_year[2013], esrb[M (for Mature)], genres[action-adventure, driving/racing, shooter], has_multiplayer[yes])","If you want action-adventure gaming, Grand Theft Auto V is a multiplayer driving and shooting game. It came out in 2013, and is rated M (for Mature).",(0: da) (12: genres) (38: name) (61: hasmultiplayer) (117: releaseyear) (131: esrb)
"inform(name[Grand Theft Auto V], release_year[2013], esrb[M (for Mature)], genres[action-adventure, driving/racing, shooter], has_multiplayer[yes])","Grand Theft Auto V is a 2013 action-adventure shooter that involves driving too. It sports a multiplayer mode, and it was rated M (for Mature).",(0: da) (0: name) (24: releaseyear) (29: genres) (93: hasmultiplayer) (124: esrb)
"inform(name[Grand Theft Auto V], release_year[2013], esrb[M (for Mature)], genres[action-adventure, driving/racing, shooter], has_multiplayer[yes])",Grand Theft Auto V was released in 2013 as an action-adventure shooter in which you can also drive around. It has multiplayer capabilities and is rated M (for Mature).,(0: da) (0: name) (35: releaseyear) (46: genres) (114: hasmultiplayer) (147: esrb)
"inform(name[Uncharted 4: A Thief's End], esrb[T (for Teen)], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation])","Uncharted 4: A Thief's End is an excellent action-adventure, third person shooter that was released for PlayStation, and it is rated T (for Teen).",(0: da) (0: name) (34: rating) (45: genres) (64: playerperspective) (107: platforms) (130: esrb)
"inform(name[Uncharted 4: A Thief's End], esrb[T (for Teen)], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation])","Uncharted 4: A Thief's End is an excellent action-adventure game rated T (for Teen). The game is a third person shooter, and it is for PlayStation only.",(0: da) (0: name) (34: rating) (45: genres) (66: esrb) (104: playerperspective) (141: platforms)
"inform(name[Uncharted 4: A Thief's End], esrb[T (for Teen)], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation])",Uncharted 4: A Thief's End is an excellent action-adventure and shooter game played from a third person perspective. This game was released for the PlayStation only and received a T (for Teen) rating.,(0: da) (0: name) (34: rating) (45: genres) (93: playerperspective) (151: platforms) (190: esrb)
request(specifier[sad]),Is there a game you played lately that you thought was pretty sad?,(0: da) (62: specifier)
request(specifier[sad]),What's a really sad game you've played?,(0: da) (17: specifier)
request(specifier[sad]),Have you played any sad video games recently?,(0: da) (20: specifier)
"request_explanation(rating[poor], genres[text adventure], platforms[PC])",What is it about PC text adventures games that ruffles your feathers so much?,(0: da) (17: platforms) (20: genres)
"request_explanation(rating[poor], genres[text adventure], platforms[PC])",What is it that you find most disappointing about PC text adventure games?,(0: da) (30: rating) (50: platforms) (53: genres)
"request_explanation(rating[poor], genres[text adventure], platforms[PC])",Why do you find text adventure games available on the PC so lackluster?,(0: da) (16: genres) (54: platforms) (60: rating)
"request_explanation(developer[Capcom Production Studio 4], rating[excellent], platforms[Xbox])",What is it about Capcom Production Studio 4's lineup of Xbox games that has you going on about how awesome they are?,(0: da) (17: developer) (57: platforms) (99: rating)
"request_explanation(developer[Capcom Production Studio 4], rating[excellent], platforms[Xbox])",Why do you think the Xbox games made by Capcom Production Studio 4 are amazing?,(0: da) (21: platforms) (40: developer) (71: rating)
"request_explanation(developer[Capcom Production Studio 4], rating[excellent], platforms[Xbox])",What do you find so amazing about Capcom Production Studio 4's Xbox games?,(0: da) (20: rating) (34: developer) (64: platforms)
"recommend(name[Portal 2], developer[Valve Corporation], platforms[PlayStation])",One of my favorite PlayStation games was by Valve Corporation actually. Do you know about Portal 2?,(0: da) (19: platforms) (44: developer) (91: name)
"recommend(name[Portal 2], developer[Valve Corporation], platforms[PlayStation])","Speaking of PlayStation games made by Valve Corporation, have you ever played Portal 2?",(0: da) (12: platforms) (38: developer) (79: name)
"recommend(name[Portal 2], developer[Valve Corporation], platforms[PlayStation])",I know you're a fan of the Valve Corporation. Have you played Portal 2 on PlayStation?,(0: da) (28: developer) (64: name) (76: platforms)
request_attribute(available_on_steam[]),Do you prefer that a game be available on Steam?,(0: da) (42: availableonsteam)
request_attribute(available_on_steam[]),Do you mostly play games on Steam?,(0: da) (28: availableonsteam)
request_attribute(available_on_steam[]),Would you say it's important to you that a game is available on Steam?,(0: da) (65: availableonsteam)
request_attribute(available_on_steam[]),Is a game being on Steam or not a dealbreaker to you?,(0: da) (19: availableonsteam)
request_attribute(available_on_steam[]),Would you say Steam makes it more convenient for you to get new games to play?,(0: da) (14: availableonsteam)
request_attribute(available_on_steam[]),Has Steam been the major source of your video games in the past few years?,(0: da) (4: availableonsteam)
request_attribute(available_on_steam[]),Does it matter to you if a game is on Steam?,(0: da) (38: availableonsteam)
request_attribute(available_on_steam[]),Is it more convenient for you to play games on Steam?,(0: da) (47: availableonsteam)
request_attribute(available_on_steam[]),Are games that are available on Steam more likely to make it into your game library?,(0: da) (32: availableonsteam)
"confirm(name[Ancient Cities], developer[Uncasual Games], player_perspective[bird view])","Is the Ancient Cities you are talking about the one with the bird view perspective, and developed by Uncasual Games?",(0: da) (7: name) (61: playerperspective) (102: developer)
"confirm(name[Ancient Cities], developer[Uncasual Games], player_perspective[bird view])",Do you mean Ancient Cities from Uncasual Games? The one with a bird view?,(0: da) (12: name) (32: developer) (64: playerperspective)
"confirm(name[Ancient Cities], developer[Uncasual Games], player_perspective[bird view])","Are you talking about Ancient Cities, the bird view perspective game developed by Uncasual Games?",(0: da) (22: name) (42: playerperspective) (83: developer)
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], platforms[PlayStation])","Hey, I've been wondering whether you're fond of gaming on the PlayStation, or you just enjoyed Need for Speed: Most Wanted regardless.",(0: da) (65: platforms) (89: rating) (99: name)
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], platforms[PlayStation])",I remember you once said Need for Speed: Most Wanted was quite fun. Do you like playing games on the PlayStation in general?,(0: da) (25: name) (64: rating) (103: platforms)
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], platforms[PlayStation])",You said that you thought Need for Speed: Most Wanted was a good game. Have you had a similarly good experience with a bunch of other games on the PlayStation?,(0: da) (26: name) (61: rating) (149: platforms)
"inform(name[Rise of the Tomb Raider], developer[Crystal Dynamics], esrb[M (for Mature)], genres[action-adventure, shooter], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Rise of the Tomb Raider is an action-adventure shooter developed by Crystal Dynamics for PlayStation, Xbox, and PC. It is rated M (for Mature), and, while it's not available on Linux or Mac, it is available on Steam.",(0: da) (0: name) (30: genres) (68: developer) (89: platforms) (125: esrb) (180: haslinuxrelease) (189: hasmacrelease) (213: availableonsteam)
"inform(name[Rise of the Tomb Raider], developer[Crystal Dynamics], esrb[M (for Mature)], genres[action-adventure, shooter], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Rise of the Tomb Raider was developed by Crystal Dynamics and was rated M (for Mature). It was released on PlayStation, Xbox, PC and Steam, but had no Linux or Mac release. It is an action-adventure shooter game.",(0: da) (0: name) (41: developer) (66: esrb) (110: platforms) (135: availableonsteam) (153: haslinuxrelease) (162: hasmacrelease) (189: genres)
"inform(name[Rise of the Tomb Raider], developer[Crystal Dynamics], esrb[M (for Mature)], genres[action-adventure, shooter], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Rise of the Tomb Raider by Crystal Dynamics is an action-adventure shooter. It is rated M (for Mature) and is available on PlayStation, Xbox, and PC, but it is not supported on Mac or Linux. It is available for Steam.",(0: da) (0: name) (27: developer) (50: genres) (83: esrb) (126: platforms) (179: hasmacrelease) (186: haslinuxrelease) (213: availableonsteam)
"give_opinion(name[World of Warcraft], rating[good], genres[adventure, MMORPG])","World of Warcraft was a pretty fun game I think, I always tend to enjoy adventure MMORPGs like it.",(0: da) (0: name) (31: rating) (73: genres)
"give_opinion(name[World of Warcraft], rating[good], genres[adventure, MMORPG])","The adventure MMORPG style of World of Warcraft really made it something different, which I enjoyed.",(0: da) (4: genres) (30: name) (93: rating)
"give_opinion(name[World of Warcraft], rating[good], genres[adventure, MMORPG])","World of Warcraft is the first name in MMORPGs, and for good reason, it's a pretty good adventure game.",(0: da) (0: name) (39: genres) (56: rating)
"inform(name[Tetris], release_year[1986], developer[Spectrum HoloByte, Inc], genres[arcade, puzzle, strategy], player_perspective[side view], has_multiplayer[no])","Tetris was released in 1986 by Spectrum HoloByte, Inc. It was one of the first arcade games to combine puzzle and strategy with sleek side view gameplay. The only downside is the lack of multiplayer.",(0: da) (0: name) (23: releaseyear) (31: developer) (80: genres) (133: playerperspective) (186: hasmultiplayer)
"inform(name[Tetris], release_year[1986], developer[Spectrum HoloByte, Inc], genres[arcade, puzzle, strategy], player_perspective[side view], has_multiplayer[no])","The side view arcade puzzler Tetris, by Spectrum HoloByte, Inc, is a game for strategy enthusiasts. It was released in 1986 and has no multiplayer mode.",(0: da) (4: playerperspective) (14: genres) (29: name) (41: developer) (123: releaseyear) (135: hasmultiplayer)
"inform(name[Tetris], release_year[1986], developer[Spectrum HoloByte, Inc], genres[arcade, puzzle, strategy], player_perspective[side view], has_multiplayer[no])","Tetris from 1986 was played in the side view but didn't have multiplayer. It was an arcade, puzzle, strategy game by Spectrum HoloByte, Inc.",(0: da) (0: name) (12: releaseyear) (35: playerperspective) (62: hasmultiplayer) (86: genres) (121: developer)
"inform(name[StarCraft], rating[good], genres[real-time strategy], player_perspective[bird view])",StarCraft is a good bird view real-time strategy game.,(0: da) (0: name) (15: rating) (20: playerperspective) (30: genres)
"inform(name[StarCraft], rating[good], genres[real-time strategy], player_perspective[bird view])",StarCraft is a good real-time strategy played with a bird view.,(0: da) (0: name) (15: rating) (20: genres) (53: playerperspective)
"inform(name[StarCraft], rating[good], genres[real-time strategy], player_perspective[bird view])",StarCraft has good user ratings. It is a real-time strategy game that is played in bird view perspective.,(0: da) (0: name) (14: rating) (42: genres) (83: playerperspective)
"suggest(name[Tetris], release_year[1986])","I was wondering, have you ever played a game that was released way back in 1986, like for example Tetris?",(0: da) (76: releaseyear) (100: name)
"suggest(name[Tetris], release_year[1986])","Do you remember playing any games from 1986, for example Tetris?",(0: da) (39: releaseyear) (58: name)
"suggest(name[Tetris], release_year[1986])","Have you played any games from 1986, like Tetris?",(0: da) (31: releaseyear) (43: name)
"recommend(name[Tony Hawk's Pro Skater 3], genres[sport], player_perspective[third person])",A third person sport game that I enjoyed was Tony Hawk's Pro Skater 3. Have you played it?,(0: da) (2: playerperspective) (15: genres) (45: name)
"recommend(name[Tony Hawk's Pro Skater 3], genres[sport], player_perspective[third person])","Since you seem to be a fan of third person sports games, have you heard of Tony Hawk's Pro Skater 3?",(0: da) (30: playerperspective) (43: genres) (76: name)
"recommend(name[Tony Hawk's Pro Skater 3], genres[sport], player_perspective[third person])","If we're talking about third person sport games, you really can't go wrong with Tony Hawk's Pro Skater 3. Have you ever played it?",(0: da) (24: playerperspective) (37: genres) (83: name)
"inform(name[Bus Driver], developer[SCS Software], genres[driving/racing, indie, simulation], platforms[PC], available_on_steam[yes])",Bus Driver by SCS Software is an indie driving simulator. It is available on Steam on the PC platform.,(0: da) (0: name) (14: developer) (33: genres) (77: availableonsteam) (90: platforms)
"inform(name[Bus Driver], developer[SCS Software], genres[driving/racing, indie, simulation], platforms[PC], available_on_steam[yes])",Bus Driver is an indie driving simulator game that was developed by SCS Software for PC and is available on Steam.,(0: da) (0: name) (17: genres) (68: developer) (85: platforms) (108: availableonsteam)
"inform(name[Bus Driver], developer[SCS Software], genres[driving/racing, indie, simulation], platforms[PC], available_on_steam[yes])",Bus Driver is an indie driving game that is played in a simulation style. It is developed by SCS Software for the PC and is available on Steam.,(0: da) (0: name) (17: genres) (94: developer) (114: platforms) (137: availableonsteam)
"inform(name[Need for Speed: Most Wanted], rating[good], genres[driving/racing], player_perspective[first person, third person], platforms[PlayStation, Xbox, Nintendo, PC], has_linux_release[no], has_mac_release[no])","Need for Speed: Most Wanted is a good driving/racing game that is played in first and third person. It is available on PlayStation, Xbox, Nintendo and PC. It was not released on Linux or Mac.",(0: da) (0: name) (34: rating) (39: genres) (77: playerperspective) (121: platforms) (179: haslinuxrelease) (188: hasmacrelease)
"inform(name[Need for Speed: Most Wanted], rating[good], genres[driving/racing], player_perspective[first person, third person], platforms[PlayStation, Xbox, Nintendo, PC], has_linux_release[no], has_mac_release[no])","Need for Speed: Most Wanted is a good driving/racing game played in first or third person. It is available on PlayStation, Xbox, Nintendo and PC but has no releases on Linux or Mac.",(0: da) (0: name) (34: rating) (39: genres) (69: playerperspective) (112: platforms) (169: haslinuxrelease) (178: hasmacrelease)
"inform(name[Need for Speed: Most Wanted], rating[good], genres[driving/racing], player_perspective[first person, third person], platforms[PlayStation, Xbox, Nintendo, PC], has_linux_release[no], has_mac_release[no])","Need for Speed: Most Wanted is a good first and third person racing game. It runs on PlayStation, Xbox, Nintendo, and PC, but it is not available for Mac or Linux.",(0: da) (0: name) (34: rating) (39: playerperspective) (62: genres) (87: platforms) (151: hasmacrelease) (158: haslinuxrelease)
"confirm(name[Tony Hawk's Pro Skater 3], platforms[PC], available_on_steam[no])","You mean Tony Hawk's Pro Skater 3, the PC game that isn't available on Steam?",(0: da) (9: name) (40: platforms) (73: availableonsteam)
"confirm(name[Tony Hawk's Pro Skater 3], platforms[PC], available_on_steam[no])","Are you talking about Tony Hawk's Pro Skater 3, the one on PC but not on Steam for some odd reason?",(0: da) (22: name) (60: platforms) (74: availableonsteam)
"confirm(name[Tony Hawk's Pro Skater 3], platforms[PC], available_on_steam[no])","You mean Tony Hawk's Pro Skater 3, the PC game you can't get on Steam?",(0: da) (9: name) (40: platforms) (66: availableonsteam)
"inform(name[TrackMania Turbo], release_year[2016], developer[Nadeo], rating[good], genres[arcade, driving/racing], player_perspective[first person, third person])",TrackMania Turbo is a fun game that came out in 2016. It was made by Nadeo and is a driving/racing arcade style of game. You can view the race in first person or third person.,(0: da) (0: name) (22: rating) (48: releaseyear) (69: developer) (84: genres) (147: playerperspective)
"inform(name[TrackMania Turbo], release_year[2016], developer[Nadeo], rating[good], genres[arcade, driving/racing], player_perspective[first person, third person])",TrackMania Turbo by Nadeo is a good arcade driving/racing game from 2016. It is played in the first person and third person point of view.,(0: da) (0: name) (20: developer) (31: rating) (36: genres) (68: releaseyear) (94: playerperspective)
"inform(name[TrackMania Turbo], release_year[2016], developer[Nadeo], rating[good], genres[arcade, driving/racing], player_perspective[first person, third person])",TrackMania Turbo is a good first person or third person driving/racing game with arcade elements. It was developed by Nadeo in 2016.,(0: da) (0: name) (22: rating) (27: playerperspective) (56: genres) (119: developer) (128: releaseyear)
"inform(name[Tetris], release_year[1986], genres[arcade, puzzle, strategy], player_perspective[side view], has_multiplayer[no])","If you like strategic arcade puzzle games, then you should try the 1986 game called Tetris. It uses a side view perspective but unfortunately has no multiplayer.",(0: da) (12: genres) (68: releaseyear) (85: name) (102: playerperspective) (149: hasmultiplayer)
"inform(name[Tetris], release_year[1986], genres[arcade, puzzle, strategy], player_perspective[side view], has_multiplayer[no])","Tetris, a single-player strategic arcade puzzle game, utilizes a side view player perspective. It was released in 1986.",(0: da) (0: name) (11: hasmultiplayer) (25: genres) (65: playerperspective) (117: releaseyear)
"inform(name[Tetris], release_year[1986], genres[arcade, puzzle, strategy], player_perspective[side view], has_multiplayer[no])",Tetris is an arcade puzzle strategy game that was released in 1986. It is a single-player game with a side view perspective.,(0: da) (0: name) (13: genres) (62: releaseyear) (76: hasmultiplayer) (101: playerperspective)
"inform(name[The Last of Us], developer[Naughty Dog], esrb[M (for Mature)], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation])",The Last of Us is an excellent action-adventure shooter game by Naughty Dog. The game is third person and has multiplayer. The Last of Us is rated M and available for PlayStation.,(0: da) (0: name) (21: rating) (31: genres) (64: developer) (90: playerperspective) (110: hasmultiplayer) (143: esrb) (169: platforms)
"inform(name[The Last of Us], developer[Naughty Dog], esrb[M (for Mature)], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation])","The Last of Us, by Naughty Dog, is an excellent PlayStation only action-adventure shooter with a third person perspective. It does have multiplayer. It received a ESRB rating of M (for Mature).",(0: da) (0: name) (20: developer) (40: rating) (50: platforms) (67: genres) (99: playerperspective) (136: hasmultiplayer) (190: esrb)
"inform(name[The Last of Us], developer[Naughty Dog], esrb[M (for Mature)], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation])","The Last of Us is an action-adventure shooter on PlayStation. Developed by Naughty Dog, it's rated M (for Mature). With a third person perspective and multiplayer options, it has earned excellent ratings.",(0: da) (0: name) (21: genres) (49: platforms) (76: developer) (95: esrb) (128: playerperspective) (154: hasmultiplayer) (192: rating)
"give_opinion(name[RollerCoaster Tycoon], developer[MicroProse], rating[good], platforms[PC])","RollerCoaster Tycoon is pretty good. MicroProse knows how to make a solid game, and it being on the PC is a plus as well.",(0: da) (0: name) (31: rating) (38: developer) (100: platforms)
"give_opinion(name[RollerCoaster Tycoon], developer[MicroProse], rating[good], platforms[PC])","I tend to enjoy playing PC games, especially when they're made by one of my favorite developers, such as MicroProse, so I thought RollerCoaster Tycoon was pretty good.",(0: da) (10: rating) (24: platforms) (108: developer) (134: name)
"give_opinion(name[RollerCoaster Tycoon], developer[MicroProse], rating[good], platforms[PC])","RollerCoaster Tycoon is such a seminal PC game, in my opinion. MicroProse really popularized the tycoon style of gameplay with this one, and it definitely defined it for me.",(0: da) (0: name) (39: platforms) (65: developer)
